"Id","orgs_id","name","url","full_name","size","stargazers_count","watchers_count","language","has_issues","forks_count","open_issues_count","forks","open_issues","watchers"
21551897,"1844662","active-directory-dotnet-native-headless","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-native-headless","Azure-Samples/active-directory-dotnet-native-headless",499,15,15,"C#","1",12,7,"1",7,15
21920634,"1844662","active-directory-dotnet-webapp-groupclaims","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-groupclaims","Azure-Samples/active-directory-dotnet-webapp-groupclaims",1674,25,25,"C#","1",27,18,"1",18,25
23206611,"2966316","azure-activedirectory-powershell-for-admins","https://api.github.com/repos/AzureAD/azure-activedirectory-powershell-for-admins","AzureAD/azure-activedirectory-powershell-for-admins",8,3,3,"PowerShell","1",2,0,"1",0,3
24659251,"1844662","active-directory-dotnet-web-single-sign-out","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-web-single-sign-out","Azure-Samples/active-directory-dotnet-web-single-sign-out",584,1,1,"C#","1",0,0,"0",0,1
25566641,"1844662","active-directory-angularjs-singlepageapp","https://api.github.com/repos/Azure-Samples/active-directory-angularjs-singlepageapp","Azure-Samples/active-directory-angularjs-singlepageapp",92,96,96,"JavaScript","1",62,13,"1",13,96
25763888,"1844662","active-directory-dotnet-native-multitarget","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-native-multitarget","Azure-Samples/active-directory-dotnet-native-multitarget",709,12,12,"C#","1",9,7,"1",7,12
25985361,"1844662","active-directory-dotnet-webapp-roleclaims","https://api.github.com/repos/Azure-Samples/active-directory-dotnet-webapp-roleclaims","Azure-Samples/active-directory-dotnet-webapp-roleclaims",997,22,22,"CSS","1",25,14,"1",14,22
29313182,"1844662","active-directory-javascript-singlepageapp-dotnet-webapi","https://api.github.com/repos/Azure-Samples/active-directory-javascript-singlepageapp-dotnet-webapi","Azure-Samples/active-directory-javascript-singlepageapp-dotnet-webapi",75,14,14,"JavaScript","1",16,5,"1",5,14
29710531,"2966316","rms-sdk-ui-for-winphone","https://api.github.com/repos/AzureAD/rms-sdk-ui-for-winphone","AzureAD/rms-sdk-ui-for-winphone",100,0,0,"C#","0",0,0,"0",0,0
29887582,"1844662","active-directory-angularjs-singlepageapp-dotnet-webapi","https://api.github.com/repos/Azure-Samples/active-directory-angularjs-singlepageapp-dotnet-webapi","Azure-Samples/active-directory-angularjs-singlepageapp-dotnet-webapi",145,51,51,"JavaScript","1",30,11,"1",11,51
